AP Name,WLC,WLCSoftware Type,WLC Software Version,Channel changes due to radar,Filtered events on serving radio,Filtered events on Cisco Integrated RF ASIC,Triggered radar events,DFS statistics last updated
TBMNC-BLD802-FL01-AP0593,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174642 seconds ago
TBMNC-BLD802-FL01-AP0592,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1174617 seconds ago
TBMNC-BLD802-FL01-AP0598,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174588 seconds ago
TBMNC-BLD802-FL01-AP0601,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174452 seconds ago
TBMNC-BLD802-FL01-AP0597,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174374 seconds ago
TBMNC-BLD802-FL01-AP0618,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174628 seconds ago
TBMNC-BLD802-FL01-21G-AP0507,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,882822 seconds ago
TBMNC-BLD802-FL01-20E-AP0497,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865041 seconds ago
TBMNC-BLD802-FL01-18E-AP0481,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,2,0,0,0,865041 seconds ago
TBMNC-BLD802-FL01-23B-AP0518,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865037 seconds ago
TBMNC-BLD802-FL01-11D-AP0429,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,703605 seconds ago
TBMNC-BLD802-FL01-12D-AP0433,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174314 seconds ago
TBMNC-BLD802-FL01-AP0616,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865037 seconds ago
TBMNC-BLD802-FL01-22F-AP0514,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174397 seconds ago
TBMNC-BLD802-FL01-AP0607,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174547 seconds ago
TBMNC-BLD802-FL01-AP0602,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,7716 seconds ago
TBMNC-BLD802-FL01-AP0617,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174396 seconds ago
TBMNC-BLD802-FL01-AP0619,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1174443 seconds ago
TBMNC-BLD802-FL01-22H-AP0516,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1174385 seconds ago
TBMNC-BLD802-FL01-AP0600,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,2,0,0,0,1174306 seconds ago
TBMNC-BLD802-FL01-11C-AP0428,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174528 seconds ago
TBMNC-BLD802-FL01-AP0591,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174350 seconds ago
TBMNC-BLD802-FL01-12H-AP0437,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174439 seconds ago
TBMNC-BLD802-FL01-20H-AP0500,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174493 seconds ago
TBMNC-BLD802-FL01-25A-AP0526,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174408 seconds ago
TBMNC-BLD802-FL01-AP0594,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174544 seconds ago
TBMNC-BLD802-FL01-21F-AP0506,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1174570 seconds ago
TBMNC-BLD802-FL01-22D-AP0512,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865032 seconds ago
TBMNC-BLD802-FL01-20B-AP0494,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865034 seconds ago
TBMNC-BLD802-FL01-12B-AP0431,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174534 seconds ago
TBMNC-BLD802-FL01-20F-AP0498,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,3,0,0,0,865035 seconds ago
TBMNC-BLD802-FL01-19F-AP0490,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,865040 seconds ago
TBMNC-BLD802-FL01-12F-AP0435,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1174441 seconds ago
TBMNC-BLD802-FL01-AP0560,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174580 seconds ago
TBMNC-BLD802-FL01-23A-AP0517,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,562927 seconds ago
TBMNC-BLD802-FL01-AP0568,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174386 seconds ago
TBMNC-BLD802-FL01-17F-AP0474,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865034 seconds ago
TBMNC-BLD802-FL01-AP0573,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174483 seconds ago
TBMNC-BLD802-FL01-23E-AP0521,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865043 seconds ago
TBMNC-BLD802-FL01-22B-AP0510,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,562928 seconds ago
TBMNC-BLD802-FL01-AP0596,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865034 seconds ago
TBMNC-BLD802-FL01-12A-AP0430,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174474 seconds ago
TBMNC-BLD802-FL01-12C-AP0432,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,1174466 seconds ago
TBMNC-BLD802-FL01-22A-AP0509,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865027 seconds ago
TBMNC-BLD802-FL01-19G-AP0491,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865036 seconds ago
TBMNC-BLD802-FL01-22C-AP0511,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,3,0,0,0,865038 seconds ago
TBMNC-BLD802-FL01-19E-AP0489,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,1,0,0,0,865042 seconds ago
TBMNC-BLD802-FL01-13A-AP0438,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174350 seconds ago
TBMNC-BLD802-FL01-AP0567,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,1174429 seconds ago
TBMNC-BLD802-FL01-AP0576,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,349028 seconds ago
TBMNC-BLD802-FL01-19B-AP0486,TBMNC-DCA05-WLANCTRL-1A.toyota.com,IOS-XE,17.12.4,0,0,0,0,865035 seconds ago
